state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,day_minutes,day_calls,day_charge,eve_minutes,eve_calls,eve_charge,night_minutes,night_calls,night_charge,intl_minutes,intl_calls,intl_charge,customer_service_calls,churn,total_minutes_domestic,total_minutes_all,total_charge_domestic,total_charge_all,total_calls_domestic,total_calls_all,customer_satisfaction
FL,147,415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,603.5999999999999,614.1999999999999,56.14,59.0,343,347,0.0
CO,77,408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,441.9,447.59999999999997,34.48,36.019999999999996,274,280,1.7857142857142856
AZ,130,415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,437.70000000000005,447.20000000000005,45.49,48.06,289,308,0.0
SC,111,415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,437.3,445.0,38.97,41.05,310,316,0.6329113924050633
VA,132,510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,563.3,573.5999999999999,45.3,48.08,273,275,0.0
NE,174,415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,652.1,667.6,55.96,60.15,303,308,0.974025974025974
WY,57,408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,586.8,596.3,60.67,63.24,342,345,0.0
MT,54,408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,391.9,406.59999999999997,40.64,44.61,241,245,1.2244897959183674
MO,20,415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,629.7,636.0,62.42,64.12,295,301,0.0
HI,49,510,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,513.0999999999999,524.1999999999999,46.6,49.6,316,317,0.31545741324921134
IL,142,415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,472.0,486.2,37.31,41.14,306,312,0.641025641025641
NH,75,510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,673.8,684.0999999999999,66.64999999999999,69.42999999999999,310,315,0.31746031746031744
LA,172,408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,536.5,549.1,51.89,55.29,314,324,0.9259259259259258
AZ,12,408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,782.2,794.0,76.49,79.67999999999999,327,330,0.30303030303030304
OK,57,408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,585.3,593.5999999999999,56.25,58.49,285,289,0.0
GA,72,415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,590.1,604.8000000000001,62.75,66.72,253,259,1.1583011583011582
AK,36,408,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,438.1,452.6,44.5,48.42,317,323,0.0
MA,78,415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,582.3,592.3,51.5,54.2,288,293,0.3412969283276451
AK,136,415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,493.2,503.7,55.19,58.03,312,318,0.9433962264150944
NJ,149,408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,600.5,611.6,55.44,58.44,294,303,0.33003300330033003
GA,98,408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,480.90000000000003,490.3,44.099999999999994,46.63999999999999,322,324,0.9259259259259258
MD,135,408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,499.2,513.8,52.26,56.199999999999996,270,285,0.0
AR,34,510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,718.5,728.5,59.22999999999999,61.92999999999999,258,262,0.7633587786259541
ID,160,415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,429.6,438.8,36.67,39.15,279,283,1.0600706713780919
WI,64,510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,645.1,648.6,57.31,58.260000000000005,271,274,0.36496350364963503
OR,59,408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,497.0,505.5,46.0,48.3,305,310,0.6451612903225806
MI,65,415,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,508.59999999999997,521.8,55.800000000000004,59.36000000000001,360,365,0.821917808219178
DE,142,408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,563.8,571.1999999999999,54.129999999999995,56.129999999999995,334,339,0.5899705014749262
ID,119,415,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,533.5999999999999,542.3999999999999,53.15,55.53,322,325,1.5384615384615385
WY,97,415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,421.0,432.0,44.28,47.25,272,275,0.36363636363636365
IA,52,408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,698.5,706.3,66.21,68.32,291,296,1.0135135135135136
IN,60,408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,680.7,687.5,66.65,68.49000000000001,301,304,0.3289473684210526
VA,10,408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,659.0999999999999,670.4999999999999,60.540000000000006,63.620000000000005,235,241,0.8298755186721992
UT,96,415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,656.2,665.5,60.25,62.76,252,257,0.7782101167315175
WY,87,415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,574.6,584.3000000000001,53.52,56.14,326,329,1.5197568389057752
IN,81,408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,695.0,705.2,63.19,65.94,250,253,0.3952569169960474
CO,141,415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,447.7,455.7,43.21000000000001,45.370000000000005,288,290,0.3448275862068966
CO,121,408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,454.9,460.7,48.279999999999994,49.849999999999994,283,286,1.048951048951049
WI,68,415,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,525.1,537.2,52.09,55.36000000000001,337,340,0.8823529411764706
OK,125,408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,596.0,608.0,62.58,65.82,324,332,0.30120481927710846
ID,174,408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,528.6,540.0,54.599999999999994,57.67999999999999,245,249,0.4016064257028112
CA,116,415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,613.1,624.7,68.28999999999999,71.41999999999999,331,334,0.5988023952095809
MN,74,510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,577.8,592.4,60.06,64.0,279,282,0.7092198581560284
SD,149,408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,634.0,646.6,58.629999999999995,62.029999999999994,209,212,1.4150943396226416
NC,38,408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,453.1,461.3,43.3,45.51,301,307,0.6514657980456027
WA,40,415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,531.7,537.9000000000001,49.220000000000006,50.89000000000001,264,269,0.7434944237918215
WY,43,415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,622.1,631.4,67.94999999999999,70.46,276,280,0.0
MN,113,408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,460.90000000000003,469.20000000000005,44.64,46.88,351,359,0.0
UT,126,408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,582.0,589.8,61.31999999999999,63.42999999999999,210,211,0.47393364928909953
TX,150,510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,496.6,510.40000000000003,51.47,55.199999999999996,311,314,1.2738853503184715
NJ,138,408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,707.6,719.4,68.89,72.08,280,287,1.0452961672473868
MN,162,510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,667.7,679.8000000000001,65.69,68.96,242,244,0.0
NM,147,510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,570.0,578.0,62.68,64.84,277,281,1.0676156583629894
NV,90,415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,582.5,589.8,60.709999999999994,62.67999999999999,368,372,0.2688172043010753
HI,85,415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,581.2,593.2,61.92,65.16,302,305,0.0
MN,50,415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,561.8,567.9,53.849999999999994,55.49999999999999,273,275,0.36363636363636365
DC,82,415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,751.4000000000001,763.1000000000001,78.59,81.75,282,286,0.0
NY,144,408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,311.7,319.9,24.81,27.02,301,308,1.2987012987012987
MN,46,415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,556.0,564.2,58.36,60.57,289,292,0.684931506849315
MD,70,408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,554.0,569.0,52.41,56.459999999999994,276,278,0.3597122302158274
WV,144,415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,728.6,741.8000000000001,70.07,73.63,292,294,0.3401360544217687
OR,116,415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,698.7,711.3000000000001,66.56,69.96000000000001,292,297,1.0101010101010102
CO,55,408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,477.4,488.4,47.629999999999995,50.599999999999994,308,310,0.967741935483871
GA,70,415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,731.9,741.6999999999999,74.51,77.16000000000001,267,271,0.36900369003690037
TX,106,510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,651.1999999999999,663.5999999999999,65.59,68.94,269,270,0.7407407407407408
VT,128,510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,728.2,736.8000000000001,64.22,66.53999999999999,268,275,0.0
IN,94,408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,502.5,510.5,48.55,50.709999999999994,290,295,1.3559322033898304
WV,111,510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,605.2,617.2,62.36,65.6,292,294,0.3401360544217687
KY,74,415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,479.6,490.5,45.78,48.72,245,254,0.7874015748031495
NJ,128,415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,694.4,708.3,70.89,74.64,286,290,0.3448275862068966
DC,82,510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,448.4,459.5,45.96,48.96,260,262,0.38167938931297707
LA,155,415,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,590.3,599.1999999999999,59.63,62.03,323,327,0.0
AR,80,415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,550.5,558.4,47.230000000000004,49.36000000000001,269,278,0.3597122302158274
ME,78,415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,695.2,704.7,70.03,72.6,310,317,0.9463722397476341
AZ,90,415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,497.4,508.0,52.4,55.26,243,250,1.2
AK,104,408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,522.5999999999999,532.3999999999999,61.56,64.21000000000001,356,361,0.2770083102493075
MT,73,415,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,547.5,560.5,53.17999999999999,56.68999999999999,254,258,0.0
AZ,99,415,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,596.4,605.1,59.900000000000006,62.25000000000001,276,279,1.4336917562724014
MS,120,408,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,588.7,594.0,61.379999999999995,62.809999999999995,331,336,0.2976190476190476
ID,77,415,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,732.7,742.5,72.67,75.32000000000001,307,314,0.6369426751592357
IA,98,510,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,573.5999999999999,577.9999999999999,56.050000000000004,57.24,289,297,1.3468013468013467
MA,108,415,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,496.4,511.0,52.19,56.129999999999995,315,320,0.0
VT,135,415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,450.7,461.2,44.01,46.849999999999994,287,293,0.0
KY,95,408,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,563.9000000000001,576.4000000000001,49.6,52.980000000000004,307,316,0.31645569620253167
IN,122,408,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,592.8,604.0999999999999,54.94,57.989999999999995,278,280,0.35714285714285715
AZ,95,408,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,615.3,627.0999999999999,64.94,68.13,278,282,1.4184397163120568
MI,36,510,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,0,670.8,679.8,73.45,75.88000000000001,291,297,0.6734006734006733
NM,93,510,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,499.4,509.2,43.779999999999994,46.42999999999999,332,335,0.2985074626865672
CO,141,415,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0,499.1,509.20000000000005,46.27,49.0,330,331,0.3021148036253776
UT,157,408,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,619.1,628.7,62.5,65.09,319,326,0.9202453987730062
MI,120,408,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,601.4,609.6999999999999,60.370000000000005,62.61000000000001,269,277,0.36101083032490977
MA,103,415,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,631.1,643.7,60.46,63.86,302,304,0.6578947368421052
AL,98,408,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,579.5999999999999,591.6999999999999,53.85,57.120000000000005,343,347,1.1527377521613833
DE,125,408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,580.5,593.8,50.199999999999996,53.78999999999999,312,319,0.3134796238244514
AZ,63,415,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0,439.9,449.29999999999995,33.94,36.48,272,275,0.36363636363636365
ME,36,510,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,590.0,610.0,61.35,66.75,337,343,0.0
NJ,64,510,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,372.4,386.59999999999997,43.18000000000001,47.010000000000005,314,317,0.31545741324921134
NV,74,415,0,0,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,672.4,681.8,74.37,76.91000000000001,277,281,0.3558718861209964
MO,112,510,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,448.79999999999995,458.79999999999995,40.71,43.410000000000004,317,320,0.625
ID,97,408,0,0,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,0,597.9000000000001,606.6000000000001,65.48,67.83,317,322,0.6211180124223602
NE,46,408,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,637.6,650.7,64.05,67.59,285,292,0.3424657534246575
TX,41,408,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,497.8,505.0,54.800000000000004,56.74,311,314,0.0
MD,121,510,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,595.0,604.8,57.96,60.61,323,327,0.9174311926605505
MS,193,415,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,416.1,427.70000000000005,45.379999999999995,48.51,308,311,0.3215434083601286
NV,130,510,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,491.79999999999995,500.99999999999994,45.81,48.29,334,339,0.5899705014749262
AZ,85,408,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,683.3,695.3,65.1,68.33999999999999,262,265,0.37735849056603776
MS,162,415,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,383.0,392.1,32.38,34.84,277,280,1.4285714285714286
MS,61,510,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,559.8,566.1999999999999,54.5,56.23,356,362,1.1049723756906076
TX,92,408,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,460.4,469.59999999999997,39.93,42.41,299,303,0.6600660066006601
NE,131,408,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,640.5999999999999,650.0999999999999,62.06,64.63,334,338,0.8875739644970414
NE,90,415,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,510.1,521.0,49.849999999999994,52.78999999999999,329,331,0.906344410876133
CA,75,408,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0,581.2,587.3000000000001,53.269999999999996,54.919999999999995,291,296,0.33783783783783783
NJ,78,415,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,722.8,732.3,70.61,73.17999999999999,375,378,0.26455026455026454
TX,82,408,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,607.6,614.7,60.42,62.34,258,259,1.5444015444015444
AR,163,408,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0,606.0,615.1,60.0,62.46,317,327,0.3058103975535168
AL,91,510,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,550.4000000000001,561.6000000000001,47.93,50.95,325,328,0.9146341463414633
NY,75,415,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0,630.8,636.0999999999999,59.06999999999999,60.49999999999999,337,341,1.466275659824047
FL,91,510,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,0,608.8,620.8,61.19,64.42999999999999,348,351,0.8547008547008548
AK,127,510,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0,573.3,584.5,53.77,56.790000000000006,264,272,0.3676470588235294
NV,113,415,0,1,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0,515.6,525.8000000000001,54.910000000000004,57.660000000000004,220,225,0.8888888888888888
DE,110,510,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0,618.5,630.9,57.449999999999996,60.8,311,314,0.3184713375796179
MD,120,415,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0,674.5,685.0,64.2,67.04,281,285,0.0
MI,157,415,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0,497.8,504.6,54.3,56.14,320,325,0.9230769230769231
VT,103,510,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0,642.5,654.2,67.55,70.71,227,231,0.4329004329004329
VT,117,408,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1,594.0,608.1,54.72,58.53,305,312,0.641025641025641
MI,140,415,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0,502.4,516.6999999999999,58.0,61.86,293,299,1.0033444816053512
WA,127,408,0,0,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,0,553.6,567.3000000000001,51.39,55.09,279,282,0.3546099290780142
UT,83,408,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0,608.9,620.6,70.0,73.16,318,322,0.3105590062111801
LA,121,408,0,0,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,0,561.5,570.0,56.69,58.989999999999995,322,327,0.3058103975535168
RI,145,408,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,0,706.6999999999999,717.8,70.5,73.5,278,282,0.7092198581560284
IA,113,408,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0,587.5,598.1,59.52,62.38,291,297,0.33670033670033667
